Composition du train,Type de matériel,Ligne,Tournée,Code de dégradation,Période d'exploitation,Type de Jour,Année civile,Année civile/mois,Année civile/semaine,Année civile/Trim.,Jour calendaire,Jour de la semaine,Mois calendrier,Km voiture
001-000-000,10,Ligne orange,0,PA,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-28,Jeudi,2,1.224
001-000-000,10,Ligne orange,0,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,3.87
001-000-000,10,Ligne orange,1,CMC,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-07,Lundi,1,8.37
001-000-000,10,Ligne orange,1,CMC,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-08,Mardi,1,201.24
001-000-000,10,Ligne orange,1,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,73.269
001-000-000,10,Ligne orange,1,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-18,Lundi,2,0.621
001-000-000,10,Ligne orange,1,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-19,Mardi,2,180.648
001-000-000,10,Ligne orange,1,CMC,19J,Samedi,2019,2019-03,201911,2019-1,2019-03-16,Samedi,3,128.718
001-000-000,10,Ligne orange,1,PA,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-08,Mardi,1,5284.251
001-000-000,10,Ligne orange,1,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,2045.826
001-000-000,10,Ligne orange,1,PA,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-19,Mardi,2,5284.566
001-000-000,10,Ligne orange,1,PA,19J,Samedi,2019,2019-03,201911,2019-1,2019-03-16,Samedi,3,6102
001-000-000,10,Ligne orange,2,CMC,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-26,Mardi,2,3.744
001-000-000,10,Ligne orange,2,CMC,19J,Dimanche,2019,2019-02,201905,2019-1,2019-02-03,Dimanche,2,120.582
001-000-000,10,Ligne orange,2,PA,19J,Dimanche,2019,2019-02,201905,2019-1,2019-02-03,Dimanche,2,5861.853
001-000-000,10,Ligne orange,4,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-06,Mercredi,2,81.162
001-000-000,10,Ligne orange,4,CMC,19J,Samedi,2019,2019-02,201905,2019-1,2019-02-02,Samedi,2,106.848
001-000-000,10,Ligne orange,4,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-06,Mercredi,2,2691.72
001-000-000,10,Ligne orange,4,PA,19J,Samedi,2019,2019-02,201905,2019-1,2019-02-02,Samedi,2,6077.601
001-000-000,10,Ligne orange,5,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-06,Mercredi,2,45.882
001-000-000,10,Ligne orange,5,CMC,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-25,Lundi,2,124.461
001-000-000,10,Ligne orange,5,CMC,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-26,Mardi,2,48.771
001-000-000,10,Ligne orange,5,CMC,19J,Dimanche,2019,2019-03,201911,2019-1,2019-03-17,Dimanche,3,45.081
001-000-000,10,Ligne orange,5,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,51.822
001-000-000,10,Ligne orange,5,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-06,Mercredi,2,3123.738
001-000-000,10,Ligne orange,5,PA,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-25,Lundi,2,2031.894
001-000-000,10,Ligne orange,5,PA,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-26,Mardi,2,3174.921
001-000-000,10,Ligne orange,5,PA,19J,Dimanche,2019,2019-03,201911,2019-1,2019-03-17,Dimanche,3,4108.671
001-000-000,10,Ligne orange,6,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,47.709
001-000-000,10,Ligne orange,6,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,2547.261
001-000-000,10,Ligne orange,7,CMC,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-30,Mercredi,1,82.494
001-000-000,10,Ligne orange,7,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,67.23
001-000-000,10,Ligne orange,7,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,80.784
001-000-000,10,Ligne orange,7,CMC,19J,Dimanche,2019,2019-03,201911,2019-1,2019-03-17,Dimanche,3,37.089
001-000-000,10,Ligne orange,7,PA,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-30,Mercredi,1,1548.972
001-000-000,10,Ligne orange,7,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,1159.686
001-000-000,10,Ligne orange,7,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,1544.607
001-000-000,10,Ligne orange,7,PA,19J,Dimanche,2019,2019-03,201911,2019-1,2019-03-17,Dimanche,3,1687.842
001-000-000,10,Ligne orange,8,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-13,Mercredi,3,22.518
001-000-000,10,Ligne orange,8,PA,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-13,Mercredi,3,488.061
001-000-000,10,Ligne orange,9,CMC,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-24,Jeudi,1,49.302
001-000-000,10,Ligne orange,9,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,24.858
001-000-000,10,Ligne orange,9,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,17.352
